Municipality,Taxa,Catch_t,Year
Ainaro,Jacks & Trevallies,3.6,2018
Ainaro,Tunas,3.5,2018
Ainaro,Sardines & Herrings,2.7,2018
Ainaro,Sardines & Herrings,2.5,2019
Ainaro,Jacks & Trevallies,1.7,2019
Ainaro,Other,2.7,2019
Ainaro,Jacks & Trevallies,14,2020
Ainaro,Sardines & Herrings,6,2020
Ainaro,Other,1.5,2020
Ainaro,Tunas,11,2021
Ainaro,Sardines & Herrings,3.2,2021
Ainaro,Jacks & Trevallies,2.1,2021
Ainaro,Sardines & Herrings,1.6,2022
Ainaro,Jacks & Trevallies,0.75,2022
Ainaro,Tunas,0.6,2022
Ainaro,Jacks & Trevallies,2.3,2023
Ainaro,Tunas,0.94,2023
Ainaro,Other,1.2,2023
Covalima,Mackerel scads,55,2018
Covalima,Sardines & Herrings,27,2018
Covalima,Short bodied mackerels,17,2018
Covalima,Mackerel scads,74,2019
Covalima,Sardines & Herrings,31,2019
Covalima,Other,7.3,2019
Covalima,Mackerel scads,52,2020
Covalima,Sardines & Herrings,28,2020
Covalima,Short bodied mackerels,10,2020
Covalima,Sardines & Herrings,34,2021
Covalima,Short bodied mackerels,20,2021
Covalima,Snappers & seaperches,11,2021
Covalima,Mackerel scads,58,2022
Covalima,Short bodied mackerels,16,2022
Covalima,Sardines & Herrings,15,2022
Covalima,Mackerel scads,35,2023
Covalima,Short bodied mackerels,25,2023
Covalima,Sardines & Herrings,20,2023
Manufahi,Sardines & Herrings,17,2018
Manufahi,Mackerel scads,15,2018
Manufahi,Other,1.9,2018
Manufahi,Mackerel scads,12,2019
Manufahi,Sardines & Herrings,11,2019
Manufahi,Other,1.3,2019
Manufahi,Mackerel scads,14,2020
Manufahi,Sardines & Herrings,9.2,2020
Manufahi,Other,2,2020
Manufahi,Sardines & Herrings,36,2021
Manufahi,Mackerel scads,15,2021
Manufahi,Other,2.1,2021
Manufahi,Sardines & Herrings,18,2022
Manufahi,Mackerel scads,13,2022
Manufahi,Other,2.4,2022
Manufahi,Sardines & Herrings,16,2023
Manufahi,Mackerel scads,9.9,2023
Manufahi,Other,1.5,2023
