region,date_bin_start,year,catch_taxon,catch_name_en,landing_weight_kg,catch_kg
Covalima,01/01/18,2018,BEN,Long tom,0.001586358,4.754037526
Covalima,01/01/18,2018,CGX,Jacks/Trevally/Other Scad,0.145667821,436.5408917
Covalima,01/01/18,2018,CJX,Fusilier,3.27E-04,0.980673298
Covalima,01/01/18,2018,CLP,Sardines/pilchards,1.312389267,3933.000285
Covalima,01/01/18,2018,FLY,Flying fish,0.101822864,305.1452515
Covalima,01/01/18,2018,GZP,Garfish,0.016671494,49.96154132
Covalima,01/01/18,2018,LWX,Jobfish,0.025601452,76.72305859
Covalima,01/01/18,2018,MOO,Moonfish,0.004624383,13.85846425
Covalima,01/01/18,2018,MZZ,Other,0.333508112,999.4652746
Covalima,01/01/18,2018,RAX,Short bodied mackerel,0.256158207,767.6611874
Covalima,01/01/18,2018,SDX,Mackerel scad,2.040707164,6115.641192
Covalima,01/01/18,2018,SNA,Snapper/seaperch,0.285057024,854.2658695
Covalima,01/01/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.093599209,280.5004002
Covalima,01/02/18,2018,BEN,Long tom,0.001062641,3.488341287
Covalima,01/02/18,2018,CGX,Jacks/Trevally/Other Scad,0.169192573,555.4102534
Covalima,01/02/18,2018,CJX,Fusilier,1.16E-04,0.381670891
Covalima,01/02/18,2018,CLP,Sardines/pilchards,1.053194296,3457.332092
Covalima,01/02/18,2018,FLY,Flying fish,0.125352348,411.4954845
Covalima,01/02/18,2018,GZP,Garfish,0.019667458,64.56257249
Covalima,01/02/18,2018,LWX,Jobfish,0.038450144,126.2206969
Covalima,01/02/18,2018,MOO,Moonfish,0.00270284,8.872641751
Covalima,01/02/18,2018,MZZ,Other,0.334810796,1099.086954
Covalima,01/02/18,2018,RAX,Short bodied mackerel,0.413055281,1355.940953
Covalima,01/02/18,2018,SDX,Mackerel scad,1.254208032,4117.202017
Covalima,01/02/18,2018,SNA,Snapper/seaperch,0.288534239,947.1744092
Covalima,01/02/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.060470004,198.5055254
Covalima,01/03/18,2018,BEN,Long tom,0.001342457,4.294893893
Covalima,01/03/18,2018,CGX,Jacks/Trevally/Other Scad,0.089981358,287.8754247
Covalima,01/03/18,2018,CJX,Fusilier,2.60E-04,0.831889875
Covalima,01/03/18,2018,CLP,Sardines/pilchards,0.839948714,2687.229865
Covalima,01/03/18,2018,FLY,Flying fish,0.100358492,321.0747666
Covalima,01/03/18,2018,GZP,Garfish,0.00982486,31.43246275
Covalima,01/03/18,2018,LWX,Jobfish,0.040581533,129.8316261
Covalima,01/03/18,2018,MOO,Moonfish,0.004844723,15.49961819
Covalima,01/03/18,2018,MZZ,Other,0.35602483,1139.022586
Covalima,01/03/18,2018,RAX,Short bodied mackerel,0.288215303,922.0810247
Covalima,01/03/18,2018,SDX,Mackerel scad,1.59906639,5115.85873
Covalima,01/03/18,2018,SNA,Snapper/seaperch,0.517638144,1656.068589
Covalima,01/03/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.092140232,294.7822635
Covalima,01/04/18,2018,BEN,Long tom,6.17E-04,2.35288058
